Index,Campaign Period Sales,Buy,Historical Sales Volume,Number of Prior Year Transactions,Number of Transactions,Purchase Breadth,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group,Repurchase Method,Last Transaction Channel,Number of Employees,Service Level,Do No Disturb,Email Available,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies
11707,155.35238095238094,1,246078.17142857143,22,22,1,15760,2040,Long-term,English,NOTICE,MAIL,6-10,Standard,False,False,False,False,False,False,False,False,False,False,True
11708,0.0,0,801810.2857142859,15,15,1,4765,3229,Short-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
11709,0.0,0,89730.0,1,1,0,2156,2968,Short-term,Unknown,NOTICE,BRANCH (PHONE),101-500,Standard,False,True,False,False,False,False,False,False,False,False,False
11710,0.0,0,196244.0,7,7,1,10685,3756,Mid-term,English,NOTICE,PHONE,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
11711,0.0,0,778224.0,16,16,0,6757,3140,Mid-term,English,NOTICE,MAIL,51-100,Standard,False,True,False,False,False,False,False,False,False,False,False
11712,0.0,0,6363.8933333333325,2,2,1,15473,1885,Long-term,English,NOTICE,MAIL,1-5,Premier,False,True,False,False,False,False,False,False,False,False,True
11713,315.39238095238096,1,250736.9428571429,15,15,1,20191,2665,Long-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,False,False,False,False,False,False,False,False,False,False,True
11714,300.89523809523814,1,267194.97142857144,8,8,1,18303,3083,Long-term,English,NOTICE,MAIL,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
11715,0.0,0,262496.9066666667,19,19,1,11912,2631,Mid-term,English,NOTICE,MAIL,1-5,Premier,False,True,False,False,False,False,False,False,False,False,True
11716,0.0,0,739752.2476190476,17,17,0,3137,2968,Short-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,False,True,False,False,False,False,False,False,False,False,False
11717,0.0,0,778904.62,19,19,0,11335,2411,Mid-term,English,AUTO RENEW,AUTO RENEW,11-50,Premier,False,True,False,False,False,False,False,False,False,False,False
11718,0.0,0,400071.6,19,19,1,9401,3322,Mid-term,English,NOTICE,MAIL,1-5,Premier,False,True,False,False,False,False,False,False,False,False,True
11719,0.0,0,1443303.4,11,11,1,8898,5767,Mid-term,English,NOTICE,MAIL,51-100,Premier,False,False,False,False,False,False,False,False,False,False,True
11720,0.0,0,68134.0,19,19,1,9096,2150,Mid-term,English,NOTICE,MAIL,6-10,Premier,True,False,False,False,False,False,False,False,False,False,True
